species	number	infected
B.pascuorum	10	0
B.pascuorum	10	0
B.pascuorum	9	0
B.pascuorum	10	0
B.pascuorum	10	0
B.pascuorum	10	1
B.pascuorum	8	0
B.pascuorum	10	0
B.pascuorum	5	0
B.pascuorum	10	0
B.pascuorum	10	0
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	5	0
B.pascuorum	10	0
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	10	1
B.pascuorum	5	1
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	1
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	1
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	5	0
B.terrestris	10	0
B.terrestris	10	0
B.terrestris	8	0
B.terrestris	10	0
B.terrestris	10	1
B.terrestris	6	0
B.terrestris	10	0
B.terrestris	10	1
B.terrestris	10	1
B.terrestris	10	0
B.hortorum	10	1
B.hortorum	10	1
B.hortorum	10	1
B.hortorum	10	1
B.hortorum	10	1
B.hortorum	6	1
B.hortorum	7	1
B.hortorum	7	0
B.hortorum	11	0
B.lapidarius	11	1
B.lapidarius	8	0
B.lapidarius	8	1
B.lapidarius	7	0
B.pratorum	10	1
B.pratorum	10	0
B.pratorum	9	1
B.pratorum	10	1
B.pratorum	8	1
B.monticola	10	1
B.bohemicus	10	1
B.magnus	11	0
B.jonellus	10	1
B.jonellus	10	0
B.jonellus	5	0
B.jonellus	10	0
B.jonellus	10	1
B.jonellus	10	0
B.jonellus	5	0
B.cryptarum	10	0
B.cryptarum	10	0
B.cryptarum	5	0
B.cryptarum	8	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	1
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	8	0
B.lucorum	10	1
B.lucorum	10	1
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	10	0
B.lucorum	2	1
B.lucorum	10	1
B.lucorum	2	1
B.lucorum	10	0
