animal dam sire
R187557 NA NA
R187559 NA NA
R187568 NA NA
R187518 NA NA
R187528 NA NA
R187945 NA NA
Fem3 NA NA
R187030 NA NA
R187517 NA NA
R187523 NA NA
R186902 NA NA
R187400 NA NA
R187932 NA NA
R187582 NA NA
R187545 NA NA
R187546 NA NA
R187590 NA NA
R187548 NA NA
R187594 NA NA
R187588 NA NA
R187531 NA NA
R187592 NA NA
R187575 NA NA
R186912 NA NA
R187914 NA NA
R187955 NA NA
R187535 NA NA
K983388 NA NA
Fem20 NA NA
R187086 NA NA
R187539 NA NA
R187566 NA NA
R187569 NA NA
R187537 NA NA
R187916 NA NA
R186903 NA NA
R187512 NA NA
R187562 NA NA
R187563 NA NA
R187571 NA NA
R187958 NA NA
R187953 NA NA
R187547 NA NA
R187947 NA NA
R187239 NA NA
R187521 NA NA
R187931 NA NA
R187577 NA NA
R187292 NA NA
R187516 NA NA
R187166 NA NA
R187579 NA NA
R187155 NA NA
R187963 NA NA
Fem5 NA NA
R187930 NA NA
R187598 NA NA
R187957 NA NA
R187552 NA NA
R187527 NA NA
R187595 NA NA
P322402 NA NA
R187515 NA NA
R187553 NA NA
R046109 NA NA
R187920 NA NA
R186907 NA NA
R187541 NA NA
R187927 NA NA
R187942 NA NA
R187937 NA NA
R187824 NA NA
R186908 NA NA
R187944 NA NA
R187964 NA NA
R187940 NA NA
R187524 NA NA
R188000 NA NA
R187999 NA NA
R187961 NA NA
R187399 NA NA
R187513 NA NA
R187918 NA NA
R187925 NA NA
R187936 NA NA
Fem2 NA NA
R187343 NA NA
R186911 NA NA
R187902 NA NA
R187948 NA NA
R187000 NA NA
R186918 NA NA
R187637 NA NA
R187398 NA NA
R187001 NA NA
R187009 NA NA
R187926 NA NA
R187951 NA NA
R186910 NA NA
R187941 NA NA
R186917 NA NA
R187540 NA NA
R187573 NA NA
R046108 NA NA
R186901 NA NA
R186909 NA NA
R187556 NA NA
R187558 NA NA
R187567 NA NA
P322412 NA NA
R187532 NA NA
R187935 NA NA
Male24 NA NA
R187574 NA NA
R187395 NA NA
R187522 NA NA
Male80 NA NA
R187397 NA NA
R187933 NA NA
R187584 NA NA
R187543 NA NA
R187544 NA NA
Male29 NA NA
Male47 NA NA
R187593 NA NA
R187583 NA NA
R187530 NA NA
R187576 NA NA
R187572 NA NA
R186913 NA NA
R187915 NA NA
R187919 NA NA
R187534 NA NA
R187597 NA NA
R187600 NA NA
R187551 NA NA
N863616 NA NA
R187538 NA NA
Male13 NA NA
P322413 NA NA
R187917 NA NA
Male111 NA NA
Male100 NA NA
R187564 NA NA
R187565 NA NA
R187098 NA NA
R187959 NA NA
R187952 NA NA
R187549 NA NA
R187946 NA NA
R187591 NA NA
R187520 NA NA
R187929 NA NA
Male57 NA NA
R187578 NA NA
R187519 NA NA
R187581 NA NA
R187580 NA NA
R187585 NA NA
Male46 NA NA
Male28 NA NA
UND1902 NA NA
R187599 NA NA
R187956 NA NA
R187550 NA NA
R187536 NA NA
R187924 NA NA
R187511 NA NA
R187529 NA NA
R187554 NA NA
Male40 NA NA
R187921 NA NA
R186914 NA NA
R187542 NA NA
R187928 NA NA
Male26 NA NA
R187938 NA NA
R186906 NA NA
R186904 NA NA
Male49 NA NA
R187965 NA NA
R187934 NA NA
R187526 NA NA
Male69 NA NA
R187998 NA NA
R187960 NA NA
R187589 NA NA
Male106 NA NA
Male105 NA NA
R187913 NA NA
R187943 NA NA
Male10 NA NA
R187570 NA NA
Male103 NA NA
R186915 NA NA
R187950 NA NA
R187962 NA NA
Male31 NA NA
R187954 NA NA
R187396 NA NA
R187533 NA NA
R187514 NA NA
R187923 NA NA
R187949 NA NA
Male4 NA NA
R187939 NA NA
R186916 NA NA
R187525 NA NA
Male81 NA NA
R187394 NA NA
Male78 NA NA
Male16 NA NA
R187142 R187557 R187556
R187154 R187559 R187558
R187341 R187568 R187567
R046169 R187518 P322412
R046161 R187528 R187532
R187409 R187945 R187935
R187507 Fem3 Male24
R187028 R187030 R187574
R046128 R187517 R187395
R187061 R187523 R187522
R187839 R186902 Male80
R187249 R187400 R187397
R187489 R187932 R187933
R187284 R187582 R187584
R187255 R187545 R187543
R187267 R187546 R187544
R187669 R187590 Male29
R187300 R187548 Male47
R187481 R187594 R187593
R187165 R187588 R187583
R187139 R187557 R187556
R187151 R187559 R187558
R187041 R187531 R187530
R187127 R187592 R187576
R187121 R187575 R187572
R187898 R186912 R186913
R187444 R187914 R187915
R187434 R187955 R187919
R187096 R187535 R187534
R187321 K983388 R187597
R187307 Fem20 R187600
R187078 R187086 R187551
R187391 R187539 N863616
R187373 R187566 R187538
R187347 R187569 Male13
R187337 R187568 R187567
R187365 R187537 P322413
R046167 R187518 P322412
R187496 R187916 R187917
R187803 R186903 Male111
R046147 R187512 Male100
R187383 R187562 R187564
R046158 R187528 R187532
R187355 R187563 R187565
R187226 R187571 R187098
R187408 R187945 R187935
R187506 Fem3 Male24
R187027 R187030 R187574
R046126 R187517 R187395
R187060 R187523 R187522
R187838 R186902 Male80
R187796 R187958 R187959
R187697 R187953 R187952
R187488 R187932 R187933
R187238 R187547 R187549
R187688 R187947 R187946
R187283 R187582 R187584
R187254 R187545 R187543
R187266 R187546 R187544
R187273 R187239 R187591
R187670 R187590 Male29
R187046 R187521 R187520
R187865 R187931 R187929
R187290 R187577 Male57
R187201 R187292 R187578
R046186 R187516 R187519
R187191 R187166 R187581
R187174 R187579 R187580
R187299 R187548 Male47
R187180 R187155 R187585
R187480 R187594 R187593
R187162 R187588 R187583
R187137 R187557 R187556
R187150 R187559 R187558
R187039 R187531 R187530
R187893 R187963 Male46
R187126 R187592 R187576
R187115 R187575 R187572
R187641 Fem5 Male28
R187471 R187930 UND1902
R187458 R187598 R187599
R187441 R187914 R187915
R187636 R187957 R187956
R187432 R187955 R187919
R187104 R187552 R187550
R187091 R187535 R187534
R187020 R187527 R187536
R187327 R187595 R187924
R046200 P322402 R187511
R187320 K983388 R187597
R187306 Fem20 R187600
R187076 R187086 R187551
R187388 R187539 N863616
R187371 R187566 R187538
R187349 R187569 Male13
R187334 R187568 R187567
R187362 R187537 P322413
R046165 R187518 P322412
R187494 R187916 R187917
R187066 R187515 R187529
R187798 R186903 Male111
R046145 R187512 Male100
R187380 R187562 R187564
R046155 R187528 R187532
R187353 R187563 R187565
R187224 R187571 R187098
R187416 R187553 R187554
R187407 R187945 R187935
R187505 Fem3 Male24
R187025 R187030 R187574
R046125 R187517 R187395
R046193 R046109 Male40
R187726 R187920 R187921
R187854 R186907 R186914
R187215 R187541 R187542
R187057 R187523 R187522
R187721 R187927 R187928
R187709 R187942 Male26
R187715 R187937 R187938
R187828 R187824 R186906
R187822 R186908 R186904
R187837 R186902 Male80
R187795 R187958 R187959
R187703 R187944 Male49
R187245 R187400 R187397
R187696 R187953 R187952
R187487 R187932 R187933
R187237 R187547 R187549
R187686 R187947 R187946
R187280 R187582 R187584
R187787 R187964 R187965
R187253 R187545 R187543
R187264 R187546 R187544
R187272 R187239 R187591
R187680 R187940 R187934
R187668 R187590 Male29
R046175 R187524 R187526
R187044 R187521 R187520
R187864 R187931 R187929
R187289 R187577 Male57
R187783 R188000 Male69
R187200 R187292 R187578
R046185 R187516 R187519
R187774 R187999 R187998
R187190 R187166 R187581
R187298 R187548 Male47
R187764 R187961 R187960
R187179 R187155 R187585
R187206 R187399 R187589
R187479 R187594 R187593
R187163 R187588 R187583
R187135 R187557 R187556
R187147 R187559 R187558
R187038 R187531 R187530
R187891 R187963 Male46
R187125 R187592 R187576
R187116 R187575 R187572
R187648 Fem5 Male28
R187896 R186912 R186913
R187470 R187930 UND1902
R187111 R187513 Male106
R187457 R187598 R187599
R187450 R187918 Male105
R187635 R187957 R187956
R187430 R187955 R187919
R187101 R187552 R187550
R187089 R187535 R187534
R187017 R187527 R187536
R187326 R187595 R187924
R187422 R187925 R187913
R187614 R187936 R187943
R046199 P322402 R187511
R187319 K983388 R187597
R187305 Fem20 R187600
R187738 Fem2 Male10
R187074 R187086 R187551
R187387 R187539 N863616
R187367 R187566 R187538
R187348 R187569 Male13
R187333 R187568 R187567
R187363 R187537 P322413
R046164 R187518 P322412
R187493 R187916 R187917
R187064 R187515 R187529
R187800 R186903 Male111
R046142 R187512 Male100
R187607 R187343 R187570
R187378 R187562 R187564
R187809 R186911 Male103
R046153 R187528 R187532
R187352 R187563 R187565
R187222 R187571 R187098
R187414 R187553 R187554
R187405 R187945 R187935
R187503 Fem3 Male24
R187021 R187030 R187574
R046124 R187517 R187395
R046192 R046109 Male40
R187724 R187920 R187921
R187857 R186907 R186914
R187214 R187541 R187542
R187055 R187523 R187522
R187708 R187942 Male26
R187714 R187937 R187938
R187826 R187824 R186906
R187821 R186908 R186904
R187835 R186902 Male80
R187792 R187958 R187959
R187699 R187944 Male49
R187845 R187902 R186915
R187243 R187400 R187397
R187694 R187953 R187952
R187486 R187932 R187933
R187234 R187547 R187549
R187684 R187947 R187946
R187279 R187582 R187584
R187786 R187964 R187965
R187252 R187545 R187543
R187263 R187546 R187544
R187270 R187239 R187591
R187676 R187940 R187934
R187666 R187590 Male29
R046174 R187524 R187526
R187043 R187521 R187520
R187863 R187931 R187929
R187286 R187577 Male57
R187778 R188000 Male69
R187199 R187292 R187578
R046184 R187516 R187519
R187771 R187999 R187998
R187189 R187166 R187581
R187171 R187579 R187580
R187297 R187548 Male47
R187763 R187961 R187960
R187176 R187155 R187585
R187202 R187399 R187589
R187478 R187594 R187593
R187883 R187948 R187950
R187158 R187588 R187583
R187136 R187557 R187556
R187146 R187559 R187558
R187036 R187531 R187530
R187890 R187963 Male46
R187124 R187592 R187576
R187112 R187575 R187572
R187642 Fem5 Male28
R187895 R186912 R186913
R187465 R187930 UND1902
R187110 R187513 Male106
R187749 R187000 R187962
R187447 R187918 Male105
R187438 R187914 R187915
R187634 R187957 R187956
R187426 R187955 R187919
R187100 R187552 R187550
R187088 R187535 R187534
R187016 R187527 R187536
R187324 R187595 R187924
R187420 R187925 R187913
R187611 R187936 R187943
R046197 P322402 R187511
R187996 R186918 Male31
R187743 R187637 R187954
R187317 K983388 R187597
R187303 Fem20 R187600
R187736 Fem2 Male10
R187071 R187086 R187551
R187385 R187539 N863616
R187366 R187566 R187538
R187344 R187569 Male13
R187332 R187568 R187567
R187359 R187537 P322413
R046163 R187518 P322412
R187491 R187916 R187917
R187062 R187515 R187529
R187799 R186903 Male111
R046143 R187512 Male100
R187605 R187343 R187570
R187376 R187562 R187564
R187807 R186911 Male103
R046152 R187528 R187532
R187351 R187563 R187565
R187218 R187571 R187098
R187411 R187553 R187554
R187403 R187945 R187935
R187393 R187398 R187396
R187502 Fem3 Male24
R187023 R187030 R187574
R046122 R187517 R187395
R046191 R046109 Male40
R187723 R187920 R187921
R187210 R187541 R187542
R187053 R187523 R187522
R187717 R187927 R187928
R187707 R187942 Male26
R187711 R187937 R187938
R187825 R187824 R186906
R187819 R186908 R186904
R187833 R186902 Male80
R187791 R187958 R187959
R187698 R187944 Male49
R187843 R187902 R186915
R187240 R187400 R187397
R187692 R187953 R187952
R187483 R187932 R187933
R187229 R187547 R187549
R187683 R187947 R187946
R187277 R187582 R187584
