FSfamily date_laid date_Ass Pupated
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F1 19.02.07 05.03.07 1
F2 19.02.07 05.03.07 1
F2 19.02.07 05.03.07 1
F2 19.02.07 05.03.07 1
F2 19.02.07 05.03.07 1
F2 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F3 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F4 19.02.07 05.03.07 1
F5 19.02.07 05.03.07 1
F5 19.02.07 05.03.07 1
F5 19.02.07 05.03.07 1
F5 19.02.07 05.03.07 1
F5 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F6 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F7 19.02.07 05.03.07 1
F8 19.02.07 05.03.07 1
F8 19.02.07 05.03.07 1
F8 19.02.07 05.03.07 1
F8 19.02.07 05.03.07 1
F9 19.02.07 05.03.07 1
F9 19.02.07 05.03.07 1
F9 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
F10 19.02.07 05.03.07 1
