id horn sex
1 scurred female
2 scurred female
3 scurred female
4 scurred female
5 polled female
6 polled female
7 normal female
8 scurred female
9 scurred female
10 scurred female
11 scurred female
12 scurred female
13 scurred female
14 scurred female
15 scurred female
16 scurred female
17 scurred female
18 scurred female
19 scurred female
20 scurred female
21 scurred female
22 scurred female
23 scurred female
24 scurred female
25 scurred female
26 scurred female
27 scurred female
28 scurred female
29 scurred female
30 scurred female
31 scurred female
32 scurred female
33 scurred female
34 scurred female
35 scurred female
36 scurred female
37 scurred female
38 scurred female
39 scurred female
40 scurred female
41 scurred female
42 scurred female
43 scurred female
44 scurred female
45 scurred female
46 scurred female
47 scurred female
48 scurred female
49 scurred female
50 scurred female
51 scurred female
52 scurred female
53 polled female
54 polled female
55 polled female
56 polled female
57 polled female
58 polled female
59 polled female
60 polled female
61 polled female
62 polled female
63 polled female
64 polled female
65 polled female
66 polled female
67 polled female
68 polled female
69 polled female
70 polled female
71 polled female
72 polled female
73 polled female
74 polled female
75 polled female
76 polled female
77 polled female
78 polled female
79 polled female
80 normal female
81 normal female
82 normal female
83 normal female
84 normal female
85 normal female
86 normal female
87 normal female
88 normal female
89 normal female
90 normal female
91 normal female
92 normal female
93 normal female
94 normal female
95 normal female
96 normal female
97 normal female
98 normal female
99 normal female
100 normal female
101 normal female
102 normal female
103 normal female
104 normal female
105 normal female
106 normal female
107 normal female
108 polled female
109 polled female
110 polled female
111 polled female
112 polled female
113 polled female
114 polled female
115 scurred female
116 scurred female
117 scurred female
118 scurred female
119 scurred female
120 scurred female
121 scurred female
122 scurred female
123 scurred female
124 scurred female
125 scurred female
126 scurred female
127 scurred female
128 scurred female
129 scurred female
130 scurred female
131 scurred female
132 scurred female
133 scurred female
134 scurred female
135 scurred female
136 scurred female
137 scurred female
138 scurred female
139 scurred female
140 polled female
141 polled female
142 polled female
143 polled female
144 polled female
145 polled female
146 polled female
147 polled female
148 polled female
149 polled female
150 polled female
151 polled female
152 polled female
153 polled female
154 polled female
155 polled female
156 polled female
157 polled female
158 polled female
159 polled female
160 polled female
161 polled female
162 polled female
163 polled female
164 polled female
165 normal female
166 normal female
167 normal female
168 polled female
169 polled female
170 normal female
171 normal female
172 scurred female
173 scurred female
174 scurred female
175 scurred female
176 scurred female
177 scurred female
178 scurred female
179 scurred female
180 scurred female
181 scurred female
182 scurred female
183 scurred female
184 scurred female
185 scurred female
186 scurred female
187 scurred female
188 scurred female
189 scurred female
190 scurred female
191 scurred female
192 scurred female
193 scurred female
194 polled female
195 polled female
196 normal female
197 normal female
198 normal female
199 normal female
200 normal female
201 normal female
202 normal female
203 normal female
204 normal female
205 normal female
206 normal female
207 normal female
208 normal female
209 normal female
210 normal female
211 normal female
212 normal female
213 normal female
214 normal female
215 normal female
216 normal female
217 normal female
218 normal female
219 normal female
220 normal female
221 normal female
222 normal female
223 normal female
224 normal female
225 normal female
226 normal female
227 normal female
228 normal female
229 normal female
230 normal female
231 normal female
232 normal female
233 normal female
234 normal female
235 normal female
236 normal female
237 normal female
238 normal female
239 normal female
240 normal female
241 normal female
242 normal female
243 normal female
244 normal female
245 scurred male
246 scurred male
247 scurred male
248 normal male
249 normal male
250 normal male
251 normal male
252 normal male
253 normal male
254 normal male
255 normal male
256 normal male
257 normal male
258 normal male
259 normal male
260 normal male
261 scurred male
262 scurred male
263 scurred male
264 scurred male
265 scurred male
266 scurred male
267 scurred male
268 scurred male
269 scurred male
270 scurred male
271 scurred male
272 scurred male
273 scurred male
274 scurred male
275 scurred male
276 scurred male
277 scurred male
278 scurred male
279 scurred male
280 scurred male
281 scurred male
282 scurred male
283 scurred male
284 scurred male
285 scurred male
286 scurred male
287 scurred male
288 normal male
289 normal male
290 normal male
291 normal male
292 normal male
293 normal male
294 normal male
295 normal male
296 normal male
297 normal male
298 normal male
299 normal male
300 normal male
301 normal male
302 normal male
303 normal male
304 normal male
305 normal male
306 normal male
307 normal male
308 normal male
309 normal male
310 normal male
311 normal male
312 normal male
313 normal male
314 normal male
315 normal male
316 normal male
317 normal male
318 normal male
319 normal male
320 normal male
321 normal male
322 normal male
323 normal male
324 normal male
325 normal male
326 normal male
327 normal male
328 normal male
329 normal male
330 normal male
331 normal male
332 normal male
333 normal male
334 normal male
335 normal male
336 normal male
337 normal male
338 normal male
339 normal male
340 normal male
341 normal male
342 normal male
343 normal male
344 normal male
345 normal male
346 normal male
347 normal male
348 normal male
349 normal male
350 normal male
351 normal male
352 normal male
353 normal male
354 normal male
355 normal male
356 normal male
357 normal male
358 normal male
359 normal male
360 normal male
361 normal male
362 normal male
363 normal male
364 normal male
365 normal male
366 normal male
367 normal male
368 normal male
369 normal male
370 normal male
371 normal male
372 normal male
373 normal male
374 normal male
375 normal male
376 normal male
377 normal male
378 normal male
379 normal male
380 normal male
381 normal male
382 normal male
383 normal male
384 normal male
385 normal male
386 normal male
387 normal male
388 normal male
389 normal male
390 normal male
391 normal male
392 normal male
393 normal male
394 normal male
395 normal male
396 normal male
397 normal male
398 normal male
399 normal male
400 normal male
401 normal male
402 normal male
403 normal male
404 normal male
405 normal male
406 normal male
407 normal male
408 normal male
409 normal male
410 normal male
411 normal male
412 normal male
413 normal male
414 normal male
415 normal male
416 normal male
417 normal male
418 normal male
419 normal male
420 normal male
421 normal male
422 normal male
423 normal male
424 normal male
425 normal male
426 normal male
427 normal male
428 normal male
429 normal male
430 normal male
431 normal male
432 normal male
433 normal male
434 normal male
435 scurred male
436 scurred male
437 scurred male
438 normal male
439 normal male
440 normal male
441 scurred male
442 scurred male
443 scurred male
444 scurred male
445 scurred male
446 scurred male
447 scurred male
448 scurred male
449 scurred male
450 scurred male
451 scurred male
452 scurred male
453 scurred male
454 scurred male
455 scurred male
456 scurred male
457 scurred male
458 scurred male
459 scurred male
460 scurred male
461 scurred male
462 scurred male
463 scurred male
464 scurred male
465 scurred male
466 scurred male
467 scurred male
468 scurred male
469 scurred male
470 scurred male
471 scurred male
472 scurred male
473 scurred male
474 scurred male
475 scurred male
476 normal male
477 normal male
478 normal male
479 normal male
480 normal male
481 normal male
482 normal male
483 normal male
484 normal male
485 normal male
486 normal male
487 normal male
488 normal male
489 normal male
490 normal male
491 normal male
492 normal male
493 normal male
494 normal male
495 normal male
496 normal male
497 normal male
498 normal male
499 normal male
500 normal male
501 normal male
502 normal male
503 normal male
504 normal male
505 normal male
506 normal male
507 normal male
508 normal male
509 normal male
510 normal male
511 normal male
512 normal male
513 normal male
514 normal male
515 normal male
516 normal male
517 normal male
518 normal male
519 normal male
520 normal male
521 normal male
522 normal male
523 normal male
524 normal male
525 normal male
526 normal male
527 normal male
528 normal male
529 normal male
530 normal male
531 normal male
532 normal male
533 normal male
534 normal male
535 normal male
536 normal male
537 normal male
538 scurred male
539 normal male
540 normal male
541 normal male
542 normal male
543 normal male
544 normal male
545 normal male
546 normal male
547 normal male
548 normal male
549 normal male
550 normal male
551 normal male
552 normal male
553 normal male
554 scurred male
555 normal male
556 normal male
557 normal male
558 normal male
559 normal male
560 normal male
561 normal male
562 normal male
563 normal male
564 normal male
565 normal male
566 normal male
567 normal male
568 normal male
569 normal male
570 normal male
571 normal male
572 normal male
573 normal male
574 normal male
575 normal male
576 normal male
577 normal male
578 normal male
579 normal male
580 normal male
581 normal male
582 normal male
583 normal male
584 normal male
585 normal male
586 normal male
587 normal male
588 normal male
589 normal male
590 normal male
591 normal male
592 normal male
593 normal male
594 normal male
595 normal male
596 normal male
597 normal male
598 normal male
599 normal male
600 normal male
601 normal male
602 normal male
603 normal male
604 normal male
605 normal male
606 normal male
607 normal male
608 normal male
609 normal male
610 normal male
611 normal male
612 normal male
613 normal male
614 normal male
615 normal male
616 normal male
617 normal male
618 normal male
619 normal male
620 normal male
621 normal male
622 normal male
623 normal male
624 normal male
625 normal male
626 normal male
627 normal male
628 normal male
629 normal male
630 normal male
631 normal male
632 normal male
633 normal male
634 normal male
635 normal male
636 normal male
637 normal male
638 normal male
639 normal male
640 normal male
641 normal male
642 normal male
643 normal male
644 normal male
645 normal male
646 normal male
