infected	not_infected	virus	line
2	38	USA	391A
0	8	USA	391A
3	50	France	392A
17	48	France	556A
10	16	France	556A
1	14	Greece	392A
0	2	Greece	360A
1	58	Greece	584A
1	63	Greece	584A
48	23	Greece	584A
0	67	Greece	556A
1	29	Greece	556A
0	51	Greece	556A
2	62	Greece	556A
0	29	Greece	754A
0	15	Greece	754A
0	69	Greece	754A
7	1	Greece	813A
10	9	Greece	813A
9	26	Greece	813A
23	7	Greece	813A
9	65	Spain	392A
9	45	Spain	392A
10	6	Spain	392A
5	63	Spain	360A
0	43	Spain	360A
0	13	Spain	360A
1	11	Spain	584A
2	21	Spain	584A
0	18	Spain	584A
12	28	Spain	584A
33	11	Spain	556A
23	11	Spain	556A
24	7	Spain	813A
32	8	Spain	813A
24	4	Spain	813A
44	2	Spain	813A
2	79	UK	392A
5	42	UK	392A
0	22	UK	392A
2	94	UK	392A
0	60	UK	360A
0	66	UK	360A
1	62	UK	556A
0	48	UK	556A
0	46	UK	556A
21	44	Spain	439A
45	0	Spain	439A
24	29	Spain	439A
44	5	Spain	439A
0	2	UK	813A
28	36	UK	813A
4	30	UK	813A
19	41	UK	813A
6	66	USA	392A
4	28	USA	392A
0	48	USA	360A
0	72	USA	360A
30	46	USA	584A
11	21	USA	584A
10	45	USA	813A
2	49	USA	813A
21	8	France	832A
33	60	France	678A
6	51	Spain	101A
42	15	Spain	101A
2	15	Spain	101A
29	20	Greece	832A
23	17	Greece	832A
15	4	Greece	889A
16	31	Greece	889A
0	45	Spain	832A
33	16	Spain	832A
37	5	Spain	832A
18	6	Spain	678A
46	5	Spain	678A
2	32	Spain	753A
9	39	Spain	753A
12	42	Spain	753A
26	6	Spain	753A
68	3	Spain	129A
38	13	Spain	129A
27	36	UK	832A
26	26	UK	832A
33	20	UK	832A
10	57	UK	889A
19	10	UK	889A
24	28	UK	129A
12	22	UK	129A
34	6	USA	832A
34	15	USA	832A
41	5	USA	832A
39	5	Spain	378A
47	7	Spain	378A
2	0	USA	129A
21	41	Spain	754A
11	59	Spain	754A
19	40	Spain	754A
29	21	UK	439A
30	12	UK	439A
1	40	UK	101A
14	30	UK	101A
43	40	UK	101A
19	12	UK	101A
0	40	UK	753A
9	63	UK	753A
4	31	UK	378A
8	27	France	439A
17	40	France	439A
11	23	France	439A
6	44	France	439A
34	25	USA	101A
36	17	USA	101A
39	4	France	802A
18	0	France	802A
48	19	France	802A
40	8	France	802A
2	47	France	796A
5	21	France	796A
23	43	France	55A
41	19	France	55A
1	2	France	55A
31	16	France	55A
10	41	Greece	40A
10	31	Greece	40A
46	11	Greece	55A
11	18	Spain	40A
4	12	Spain	40A
31	15	Spain	589A
25	2	Spain	589A
0	14	Spain	589A
2	21	Spain	589A
1	0	Spain	802A
5	1	Spain	802A
6	29	Spain	796A
9	14	France	753A
6	38	France	753A
29	2	Spain	55A
35	19	Spain	55A
2	7	UK	40A
4	51	UK	40A
2	19	UK	40A
3	1	UK	589A
39	31	UK	589A
33	6	UK	589A
3	0	UK	589A
1	0	UK	802A
1	0	UK	802A
18	33	UK	802A
24	13	UK	55A
9	7	USA	40A
0	15	USA	40A
9	10	USA	40A
20	61	USA	589A
9	3	USA	589A
4	39	USA	796A
13	28	USA	796A
9	17	USA	796A
0	13	France	378A
0	15	France	378A
17	28	France	405A
21	23	France	405A
0	16	France	405A
7	18	France	405A
11	12	France	839A
10	10	France	839A
9	44	France	21A
7	51	France	21A
48	3	France	810A
39	10	France	810A
47	8	France	810A
27	19	France	810A
0	2	Greece	405A
2	17	Greece	405A
7	38	Greece	405A
7	11	Greece	405A
5	24	Greece	839A
3	17	Greece	839A
0	34	Greece	839A
2	26	Greece	839A
24	22	Greece	21A
29	7	Greece	21A
0	14	France	754A
0	48	France	754A
8	8	Greece	810A
9	7	Greece	810A
22	12	Spain	839A
8	12	Spain	839A
15	3	Spain	839A
4	2	Spain	839A
5	3	Spain	93A
10	0	Spain	21A
13	12	Spain	21A
11	41	Spain	810A
51	6	Spain	810A
16	2	Spain	810A
15	14	UK	405A
45	9	UK	405A
6	8	UK	405A
13	33	UK	405A
0	6	UK	839A
10	34	UK	93A
31	16	UK	93A
13	13	UK	93A
0	28	Greece	439A
0	29	Greece	439A
0	56	Greece	439A
0	61	Greece	439A
6	29	USA	839A
12	14	USA	839A
4	2	USA	839A
16	16	USA	839A
44	23	USA	93A
50	17	USA	93A
64	5	USA	93A
11	1	USA	21A
56	0	USA	21A
9	3	USA	810A
0	4	France	730A
18	10	France	714A
41	16	France	714A
43	9	France	737A
20	5	France	737A
64	20	France	737A
63	10	France	737A
0	36	Greece	101A
0	50	Greece	101A
0	51	Greece	486A
9	1	Spain	730A
0	23	Spain	714A
0	39	Spain	714A
6	5	Spain	737A
11	10	Spain	737A
0	15	Greece	753A
0	17	Greece	753A
0	8	Greece	753A
1	38	Greece	753A
0	27	Spain	391A
0	57	Spain	391A
10	28	UK	730A
10	34	UK	714A
2	51	UK	714A
0	76	UK	714A
3	52	UK	714A
0	54	UK	391A
40	34	USA	737A
10	24	USA	737A
5	3	USA	737A
0	44	Greece	378A
0	35	Greece	378A
0	9	Greece	378A
20	12	USA	142A
8	24	USA	142A
1	10	France	385A
28	1	France	385A
0	11	Greece	280A
0	5	Greece	313A
0	10	Greece	313A
0	30	Greece	355A
0	15	Greece	355A
0	12	Greece	355A
0	25	Greece	355A
0	1	Greece	740A
9	21	Greece	740A
2	10	Greece	740A
6	15	Greece	740A
6	18	Greece	385A
35	11	Greece	385A
32	3	Spain	280A
9	1	Spain	280A
4	11	Spain	280A
16	7	Spain	313A
0	23	Spain	354A
0	36	Spain	354A
1	18	Spain	355A
0	19	Spain	355A
0	15	Spain	355A
0	23	Spain	355A
7	18	Spain	385A
30	3	Spain	385A
6	10	Spain	385A
1	11	UK	280A
2	10	UK	280A
0	15	UK	280A
0	28	UK	355A
0	26	UK	355A
0	32	UK	355A
0	21	UK	355A
0	11	Spain	591A
8	5	Spain	591A
0	6	Spain	591A
3	5	UK	385A
8	16	UK	385A
0	26	USA	355A
0	13	USA	355A
0	1	France	528A
0	18	France	519A
0	56	France	519A
23	6	France	492A
0	2	Spain	595A
1	1	Spain	595A
7	2	France	395A
11	32	France	395A
0	39	Greece	519A
0	21	Greece	519A
0	31	Greece	519A
0	20	Greece	519A
4	11	Greece	502A
9	6	Greece	502A
4	8	Greece	502A
1	6	Greece	492A
4	31	Greece	492A
13	5	Greece	395A
14	22	Spain	519A
0	5	Spain	502A
2	5	Spain	502A
8	27	Spain	492A
30	2	Spain	663A
