year	month	Capelin	Herring	Pollock	SandLance	Other
1978	Jul	0	0	0	1	0
1978	Aug	0	0	0	1	0
1978	Aug	0	0	0	6	0
1978	Aug	0	0	0	1	0
1978	Aug	0	0	0	1	0
1978	Aug	0	0	0	1	0
1978	Aug	0	0	0	2	0
1978	Aug	0	0	0	0	1
1978	Aug	0	0	0	5	2
1978	Aug	0	0	0	8	0
1978	Jul	0	0	0	7	1
1978	Jul	0	0	0	2	0
1978	Jul	0	0	0	1	1
1978	Jul	0	0	0	4	2
1978	Jul	0	0	0	5	0
1978	Jul	0	0	0	3	0
1978	Jul	0	0	0	0	1
1978	Aug	0	0	0	4	0
1986	Aug	0	0	0	1	1
1986	Aug	0	0	1	2	0
1986	Aug	0	0	0	1	0
1987	Jul	0	0	0	6	1
1987	Aug	0	0	0	1	0
1987	Aug	2	0	0	0	0
1987	Aug	0	0	0	6	0
1987	Aug	0	0	0	4	0
1987	Jul	0	0	0	0	1
1989	Aug	0	0	5	0	0
1990	Jul	0	0	0	1	0
1990	Jul	0	0	1	1	1
1990	Jul	0	0	4	0	0
1990	Jul	0	0	0	10	0
1990	Aug	0	0	0	0	1
1990	Aug	0	0	1	0	1
1990	Aug	0	0	0	1	2
1990	Aug	0	0	1	0	0
1990	Jul	0	0	1	0	1
1990	Jul	0	0	6	0	0
1990	Jul	0	0	10	0	1
1990	Jul	0	0	6	2	0
1990	Jul	0	0	3	0	1
1990	Jul	0	0	0	1	0
1990	Jul	0	0	2	0	3
1990	Jul	0	0	0	0	1
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	5
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	8
1993	Aug	0	0	0	0	4
1993	Aug	0	0	0	0	9
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	1	0
1993	Aug	0	0	0	1	2
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	1	1
1993	Aug	0	0	0	2	0
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	1
1993	Aug	0	0	1	0	1
1993	Aug	0	0	0	1	1
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	2	0
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	1
1993	Aug	0	0	0	0	1
1993	Aug	1	0	0	0	1
1993	Aug	1	0	0	0	0
1993	Aug	0	0	1	0	0
1993	Aug	0	0	0	1	0
1993	Aug	0	0	0	0	2
1993	Aug	0	0	0	0	2
1994	Jul	0	0	5	0	0
1994	Jul	0	0	8	0	0
1994	Jul	0	0	8	0	0
1994	Aug	1	0	0	0	0
1994	Aug	0	0	4	0	0
1994	Aug	0	0	7	0	0
1994	Aug	0	0	13	0	1
1994	Jul	0	0	8	0	0
1994	Jul	0	0	7	0	0
1994	Jul	0	0	2	0	2
1994	Jul	0	0	3	0	1
1994	Jul	0	0	3	0	0
1994	Jul	0	0	1	0	0
1994	Jul	0	0	1	0	0
1994	Jul	0	0	2	0	0
1995	Aug	4	0	0	0	0
1995	Aug	0	0	1	0	0
1995	Aug	0	0	1	0	2
1995	Aug	0	0	1	0	0
1995	Aug	0	0	3	0	4
1995	Aug	24	0	1	0	0
1995	Aug	0	0	0	3	0
1995	Aug	0	0	0	0	1
1995	Jul	0	0	1	0	0
1995	Jul	0	0	1	0	2
1995	Jul	0	0	7	0	2
1995	Jul	0	0	7	0	0
1995	Aug	0	0	0	3	0
1995	Aug	0	0	3	0	1
1995	Aug	0	0	6	0	1
1997	Jul	0	0	0	1	0
1997	Aug	0	0	0	10	0
1997	Jul	0	0	0	7	0
1997	Aug	0	0	0	1	0
1997	Aug	0	0	0	4	0
1997	Jul	0	0	0	4	0
1997	Aug	0	0	0	5	0
1997	Aug	0	0	0	7	0
1997	Aug	0	0	0	1	1
1997	Aug	0	0	0	7	0
1997	Jul	0	0	0	1	0
1997	Aug	0	0	0	6	1
1997	Aug	0	0	0	5	0
1997	Aug	0	0	0	1	0
1997	Aug	0	0	0	7	0
1997	Aug	0	0	1	4	0
1997	Aug	0	0	0	1	0
1997	Aug	0	2	0	6	1
1997	Aug	0	3	0	0	0
1997	Aug	0	0	0	5	0
1997	Jul	0	0	0	1	0
1997	Aug	0	1	0	2	0
1997	Aug	2	0	0	0	0
1997	Aug	0	0	0	1	0
1997	Jul	0	0	2	2	0
1997	Jul	0	0	0	0	3
1997	Jul	0	0	1	2	0
1997	Jul	0	0	0	8	0
1997	Aug	0	0	0	10	0
1997	Jul	0	0	0	2	0
1997	Aug	0	0	0	10	0
1997	Aug	0	0	0	8	0
1997	Aug	0	0	0	1	0
1997	Aug	0	0	0	2	0
1997	Jul	0	0	0	4	0
1999	Jul	0	0	0	1	0
1999	Jul	0	0	1	5	0
1999	Jul	0	0	0	4	0
1999	Jul	0	0	2	9	0
1999	Jul	0	0	0	14	0
1999	Jul	0	0	0	1	0
1999	Jul	0	0	0	2	0
1999	Jul	0	0	0	2	0
1999	Jul	0	0	0	2	0
1999	Jul	0	0	0	3	0
1999	Jul	0	0	0	3	1
1999	Jul	0	0	0	3	0
1999	Jul	0	0	0	1	0
1999	Jul	1	0	0	0	0
1999	Jul	0	0	1	0	0
1999	Jul	0	1	0	2	0
1999	Jul	0	0	0	2	0
1999	Jul	0	0	0	4	0
1999	Jul	0	0	1	4	0
1999	Jul	0	0	0	1	0
1999	Jul	0	0	0	3	0
1999	Jul	0	0	0	3	0
1999	Jul	0	0	0	1	0
1999	Aug	0	0	0	7	0
1999	Aug	0	3	0	2	0
1999	Aug	0	0	0	7	0
1999	Aug	0	0	0	7	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	2	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	3	0
1999	Jul	0	0	4	1	1
1999	Aug	0	0	0	13	0
1999	Aug	0	0	0	3	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	7	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	0	2
1999	Aug	0	0	0	2	0
1999	Aug	0	0	0	7	0
1999	Aug	0	0	0	1	0
1999	Jul	0	0	0	7	0
1999	Aug	0	0	0	3	0
1999	Aug	0	0	0	4	0
1999	Aug	0	0	1	2	0
1999	Aug	0	0	0	3	0
1999	Aug	0	0	2	1	0
1999	Aug	0	0	0	5	0
1999	Aug	0	0	0	8	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	3	0
1999	Aug	0	0	0	2	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	1	0
1999	Aug	0	0	0	3	0
1999	Aug	0	0	0	4	0
1999	Jul	0	0	1	0	0
1999	Jul	0	0	0	2	0
